18.8,7.332000000000001,5.64,18.048,15.04,784.55,145.08,AL
18.1,7.421,4.525,16.290000000000003,17.014,1053.48,133.93,AK
18.6,6.51,5.208000000000001,15.624,17.856,899.47,110.35,AZ
22.4,4.032,5.824,21.056,21.28,827.34,142.39,AR
12.0,4.2,3.36,10.92,10.68,878.41,165.63,CA
13.6,5.032,3.808,10.743999999999998,12.92,835.5,139.91,CO
10.8,4.968,3.888,9.396,8.856,1068.73,167.02,CT
16.2,6.156000000000001,4.86,14.094,16.038,1137.87,151.48,DE
5.9,2.006,1.5930000000000002,5.9,5.9,1273.89,136.05,DC
17.9,3.759,5.190999999999999,16.468,16.826,1160.13,144.18,FL
15.6,2.964,3.9,14.82,14.508,913.15,142.8,GA
17.5,9.45,7.175,14.35,15.225,861.18,120.92,HI
15.3,5.508000000000001,4.437,13.005,14.994000000000002,641.96,82.75,ID
12.8,4.6080000000000005,4.352,12.032,12.288000000000002,803.11,139.15,IL
14.5,3.625,4.205,13.775,13.775,710.46,108.92,IN
15.7,2.669,3.925,15.229,13.659,649.06,114.47,IA
17.8,4.806,4.272,13.706,15.13,780.45,133.8,KS
21.4,4.066,4.922,16.691999999999997,16.264,872.51,137.13,KY
20.5,7.175,6.765,14.965,20.09,1281.55,194.78,LA
15.1,5.738,4.53,13.137,12.684,661.88,96.57,ME
12.5,4.25,4.0,8.875,12.375,1048.78,192.7,MD
8.2,1.886,2.87,7.134,6.56,1011.14,135.63,MA
14.1,3.384,3.948,13.395,10.857,1110.61,152.26,MI
9.6,2.208,2.784,8.448,8.448,777.18,133.35,MN
17.6,2.64,5.456,1.76,17.6,896.07,155.77,MS
16.1,6.923000000000001,5.474000000000001,14.812,13.524,790.32,144.45,MO
21.4,8.345999999999998,9.416,17.976,18.19,816.21,85.15,MT
14.9,1.9370000000000005,5.215,13.857,13.41,732.28,114.82,NE
14.7,5.439,4.704,13.965,14.553,1029.87,138.71,NV
11.6,4.06,3.48,10.092,9.628,746.54,120.21,NH
11.2,1.7919999999999998,3.136,9.632,8.735999999999999,1301.52,159.85,NJ
18.4,3.496,4.968,12.328,18.032,869.85,120.75,NM
12.3,3.936,3.5670000000000006,10.824000000000002,9.84,1234.31,150.01,NY
16.8,6.5520000000000005,5.208000000000001,15.792,13.608,708.24,127.82,NC
23.9,5.496999999999999,10.038,23.661,20.554,688.75,109.72,ND
14.1,3.948,4.794,13.958999999999998,11.562,697.73,133.52,OH
19.9,6.367999999999999,5.770999999999999,18.308,18.706,881.51,178.86,OK
12.8,4.224,3.3280000000000003,8.576,11.52,804.71,104.61,OR
18.2,9.1,5.642,17.471999999999998,16.016,905.99,153.86,PA
11.1,3.774,4.218,10.212,8.769,1148.99,148.58,RI
23.9,9.082,9.799,22.944,19.359,858.97,116.29,SC
19.4,6.013999999999999,6.401999999999999,19.012,16.683999999999997,669.31,96.87,SD
19.5,4.095,5.655,15.99,15.795,767.91,155.57,TN
19.4,7.76,7.371999999999999,17.654,16.878,1004.75,156.83,TX
11.3,4.859,1.808,9.944,10.848000000000004,809.38,109.48,UT
13.6,4.08,4.08,13.056,12.92,716.2,109.61,VT
12.7,2.413,3.429,11.049,11.175999999999998,768.95,153.72,VA
10.6,4.452,3.498,8.692,9.116,890.03,111.62,WA
23.8,8.092,6.664,23.086,20.706,992.61,152.56,WV
13.8,4.968,4.554,5.382000000000001,11.592,670.31,106.62,WI
17.4,7.308,5.568,14.094,15.659999999999998,791.14,122.04,WY
